id,latitude,longitude
125,57.15155002,-2.103350513
126,57.14820214,-2.099920117
127,57.14608455,-2.096873647
128,57.13864378,-2.088559866
129,57.11732281,-2.177167184
130,57.17055589,-2.125380985
131,57.14286585,-2.111026604
132,57.14725216,-2.097108074
133,57.15170311,-2.091318328
134,57.14829381,-2.108497772
135,57.12499835,-2.12098196
136,57.1405998,-2.113630496
137,57.1438574,-2.107113198
138,57.1588791,-2.114860408
139,57.1588791,-2.114860408
140,57.14579568,-2.109481984
141,57.53742199,-2.458170363
142,57.05063821,-2.502530353
143,57.69266935,-2.006226378
144,56.9636258,-2.208701184
145,57.15057757,-2.300095289
146,57.44717523,-2.786943789
147,57.69265145,-2.004750276
148,57.36453616,-2.074209908
149,57.50133197,-1.800720736
150,57.05110048,-2.503739921
151,57.50544918,-1.780956501
152,57.50557522,-1.775999411
153,57.50765307,-1.782795785
154,57.50501788,-1.780875643
155,57.51356423,-1.788485936
156,57.06340903,-2.131119758
157,57.69220145,-2.015552443
158,57.44717523,-2.786943789
159,57.66341721,-2.521320386
160,57.5055344,-1.77831929
161,57.69265145,-2.004750276
162,57.5055344,-1.77831929
163,57.69274125,-2.005287053
164,56.9641302,-2.207898192
165,57.5055344,-1.77831929
166,50.83410267,-0.236313842
167,50.82622968,-0.323281769
168,50.83392114,-0.272875247
169,50.83170349,-0.276166468
170,50.82793345,-0.322311961
171,50.82738514,-0.322331615
172,50.81001365,-0.370163464
173,50.81204388,-0.368715925
174,54.60038578,-3.135622447
175,54.66381503,-3.365689429
176,54.6447272,-3.545018932
177,54.6439077,-3.546553056
178,,
179,54.60038578,-3.135622447
180,54.64299843,-3.545263287
181,,
182,54.63027525,-3.552015502
183,54.64330556,-3.544438106
184,54.64359637,-3.545595914
185,54.64359637,-3.545595914
186,54.64393774,-3.545608869
187,54.64158632,-3.555871156
188,54.66289798,-3.364123763
189,54.71373686,-3.496879949
190,54.8254211,-3.159737773
191,54.64230405,-3.541920682
192,53.01377469,-1.353087401
193,53.09741288,-1.389274202
